sss_year,state,filing_status,variable_name,type,calculation_method,income_min,income_max,value,notes,source,source_url,collected_by,date_collected
2026,IA,all,cdcc,credit,percent_of_expense,0,9999,0.75,NA,NA,NA,NA,NA
2026,IA,all,cdcc,credit,percent_of_expense,10000,19999,0.65,NA,NA,NA,NA,NA
2026,IA,all,cdcc,credit,percent_of_expense,20000,24999,0.55,NA,NA,NA,NA,NA
2026,IA,all,cdcc,credit,percent_of_expense,25000,34999,0.5,NA,NA,NA,NA,NA
2026,IA,all,cdcc,credit,percent_of_expense,35000,39999,0.4,NA,NA,NA,NA,NA
2026,IA,all,cdcc,credit,percent_of_expense,40000,89999,0.3,NA,NA,NA,NA,NA
2026,CT,single_adult,exemption_per_person,taxable_income_subtraction,per_person,0,30000,15000,NA,"Connecticut Department of Revenue Services. IP 2025(7):Income Tax Guide. Revised 2025. Accessed June 9, 2025. https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf.",https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf?rev=c402d250ea71458aa5c7772babdb6ec2&hash=B8B0372E46BF096A8D00B4227EC02CA0,Aku,06/24/2025
2026,CT,single_adult,exemption_per_person,taxable_income_subtraction,per_person,30000,31000,14000,NA,"Connecticut Department of Revenue Services. IP 2025(7):Income Tax Guide. Revised 2025. Accessed June 9, 2025. https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf.",https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf?rev=c402d250ea71458aa5c7772babdb6ec2&hash=B8B0372E46BF096A8D00B4227EC02CA0,Aku,06/24/2025
2026,CT,single_adult,exemption_per_person,taxable_income_subtraction,per_person,31000,32000,13000,NA,"Connecticut Department of Revenue Services. IP 2025(7):Income Tax Guide. Revised 2025. Accessed June 9, 2025. https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf.",https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf?rev=c402d250ea71458aa5c7772babdb6ec2&hash=B8B0372E46BF096A8D00B4227EC02CA0,Aku,06/24/2025
2026,CT,single_adult,exemption_per_person,taxable_income_subtraction,per_person,32000,33000,12000,NA,"Connecticut Department of Revenue Services. IP 2025(7):Income Tax Guide. Revised 2025. Accessed June 9, 2025. https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf.",https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf?rev=c402d250ea71458aa5c7772babdb6ec2&hash=B8B0372E46BF096A8D00B4227EC02CA0,Aku,06/24/2025
2026,CT,single_adult,exemption_per_person,taxable_income_subtraction,per_person,33000,34000,11000,NA,"Connecticut Department of Revenue Services. IP 2025(7):Income Tax Guide. Revised 2025. Accessed June 9, 2025. https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf.",https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf?rev=c402d250ea71458aa5c7772babdb6ec2&hash=B8B0372E46BF096A8D00B4227EC02CA1,Aku,06/24/2025
2026,CT,single_adult,exemption_per_person,taxable_income_subtraction,per_person,34000,35000,10000,NA,"Connecticut Department of Revenue Services. IP 2025(7):Income Tax Guide. Revised 2025. Accessed June 9, 2025. https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf.",https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf?rev=c402d250ea71458aa5c7772babdb6ec2&hash=B8B0372E46BF096A8D00B4227EC02CA2,Aku,06/24/2025
2026,CT,single_adult,exemption_per_person,taxable_income_subtraction,per_person,35000,36000,9000,NA,"Connecticut Department of Revenue Services. IP 2025(7):Income Tax Guide. Revised 2025. Accessed June 9, 2025. https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf.",https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf?rev=c402d250ea71458aa5c7772babdb6ec2&hash=B8B0372E46BF096A8D00B4227EC02CA3,Aku,06/24/2025
2026,CT,single_adult,exemption_per_person,taxable_income_subtraction,per_person,36000,37000,8000,NA,"Connecticut Department of Revenue Services. IP 2025(7):Income Tax Guide. Revised 2025. Accessed June 9, 2025. https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf.",https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf?rev=c402d250ea71458aa5c7772babdb6ec2&hash=B8B0372E46BF096A8D00B4227EC02CA4,Aku,06/24/2025
2026,CT,single_adult,exemption_per_person,taxable_income_subtraction,per_person,37000,38000,7000,NA,"Connecticut Department of Revenue Services. IP 2025(7):Income Tax Guide. Revised 2025. Accessed June 9, 2025. https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf.",https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf?rev=c402d250ea71458aa5c7772babdb6ec2&hash=B8B0372E46BF096A8D00B4227EC02CA5,Aku,06/24/2025
2026,CT,single_adult,exemption_per_person,taxable_income_subtraction,per_person,38000,39000,6000,NA,"Connecticut Department of Revenue Services. IP 2025(7):Income Tax Guide. Revised 2025. Accessed June 9, 2025. https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf.",https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf?rev=c402d250ea71458aa5c7772babdb6ec2&hash=B8B0372E46BF096A8D00B4227EC02CA6,Aku,06/24/2025
2026,CT,single_adult,exemption_per_person,taxable_income_subtraction,per_person,39000,40000,5000,NA,"Connecticut Department of Revenue Services. IP 2025(7):Income Tax Guide. Revised 2025. Accessed June 9, 2025. https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf.",https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf?rev=c402d250ea71458aa5c7772babdb6ec2&hash=B8B0372E46BF096A8D00B4227EC02CA7,Aku,06/24/2025
2026,CT,single_adult,exemption_per_person,taxable_income_subtraction,per_person,40000,41000,4000,NA,"Connecticut Department of Revenue Services. IP 2025(7):Income Tax Guide. Revised 2025. Accessed June 9, 2025. https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf.",https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf?rev=c402d250ea71458aa5c7772babdb6ec2&hash=B8B0372E46BF096A8D00B4227EC02CA8,Aku,06/24/2025
2026,CT,single_adult,exemption_per_person,taxable_income_subtraction,per_person,41000,42000,3000,NA,"Connecticut Department of Revenue Services. IP 2025(7):Income Tax Guide. Revised 2025. Accessed June 9, 2025. https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf.",https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf?rev=c402d250ea71458aa5c7772babdb6ec2&hash=B8B0372E46BF096A8D00B4227EC02CA9,Aku,06/24/2025
2026,CT,single_adult,exemption_per_person,taxable_income_subtraction,per_person,42000,43000,2000,NA,"Connecticut Department of Revenue Services. IP 2025(7):Income Tax Guide. Revised 2025. Accessed June 9, 2025. https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf.",https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf?rev=c402d250ea71458aa5c7772babdb6ec2&hash=B8B0372E46BF096A8D00B4227EC02CA10,Aku,06/24/2025
2026,CT,single_adult,exemption_per_person,taxable_income_subtraction,per_person,43000,44000,1000,NA,"Connecticut Department of Revenue Services. IP 2025(7):Income Tax Guide. Revised 2025. Accessed June 9, 2025. https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf.",https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf?rev=c402d250ea71458aa5c7772babdb6ec2&hash=B8B0372E46BF096A8D00B4227EC02CA11,Aku,06/24/2025
2026,CT,single_adult,exemption_per_person,taxable_income_subtraction,per_person,44000,Inf,0,NA,"Connecticut Department of Revenue Services. IP 2025(7):Income Tax Guide. Revised 2025. Accessed June 9, 2025. https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf.",https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf?rev=c402d250ea71458aa5c7772babdb6ec2&hash=B8B0372E46BF096A8D00B4227EC02CA12,Aku,06/24/2025
2026,CT,married,exemption_per_person,taxable_income_subtraction,per_person,0,48000,24000,NA,"Connecticut Department of Revenue Services. IP 2025(7):Income Tax Guide. Revised 2025. Accessed June 9, 2025. https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf.",https://portal.ct.gov/-/media/drs/publications/pubsip/2025/ip-2025-7.pdf?rev=c402d250ea71458aa5c7772babdb6ec2&hash=B8B0372E46BF096A8D00B4227EC02CA13,Aku,06/24/2025
